cliente_ID,desistencia,genero,idade_>=_65,tem_parceiro,tem_dependentes,assinatura_provedor_internet,assinatura_adicional_seguranca_online,assinatura_adicional_backup_online,assinatura_adicional_protecao_dispositivo,assinatura_adicional_suporte_tecnico_menos_tempo_espera,assinatura_TV_cabo,assinatura_streaming_filmes,contrato,fatura_online,forma_pagamento,gastos_mensais,gastos_diarios,gasto_total
1183-CANVH,No,Female,0,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),60.0,2.0,1347.15
1184-PJVDB,Yes,Male,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,2.66,857.2
1187-WILMM,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.4,2.98,5597.65
1193-RTSLK,Yes,Female,0,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),83.9,2.8,3233.6
1194-BHJYC,No,Male,0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,62.15,2.07,3778.85
1194-HVAIF,No,Female,0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.0,3.17,2462.55
1195-OIYEJ,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.1,3.04,1135.7
1196-AMORA,Yes,Male,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.6,2.45,520
1197-BVMVG,No,Female,1,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,2.48,294.45
1200-TUZHR,No,Female,1,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.2,2.84,695.75
1202-KKGFU,No,Female,0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),54.2,1.81,690.5
1205-WNWPJ,Yes,Female,0,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,59.5,1.98,415.95
1206-EHBDD,No,Female,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),80.3,2.68,4513.65
1208-DNHLN,Yes,Male,0,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),48.35,1.61,1067.15
1208-NBVFH,No,Male,0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.6,1.65,939.8
1209-VFFOC,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,56.4,1.88,3948.45
1212-GLHMD,No,Male,0,No,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,86.05,2.87,244.85
1213-NGCUN,Yes,Female,0,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.65,1.66,267.35
1215-FIGMP,No,Male,0,No,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,3.0,5450.7
1215-VFYVK,No,Female,0,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,48.25,1.61,202.25
1216-BGTSP,No,Male,0,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.45,3.62,4964.7
1216-JWVUX,No,Male,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,2.52,1901.05
1217-VASWC,No,Male,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),100.55,3.35,4304
1219-NNDDO,No,Female,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.85,2.56,663.55
1221-GHZEP,No,Female,0,No,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,65.1,2.17,3846.75
1226-IENZN,No,Male,1,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.75,2.62,1218.25
1226-UDFZR,Yes,Female,0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,49.6,1.65,114.7
1227-UDMZR,No,Female,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.15,3.04,6637.9
1228-FZFRV,Yes,Male,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),105.95,3.53,5341.8
1228-ZLNBX,No,Male,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.3,2.51,1570.7
1229-RCALF,No,Female,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,115.0,3.83,7396.15
1230-QAJDW,No,Male,0,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.25,2.17,209.9
1236-WFCDV,Yes,Male,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.45,3.02,1266.1
1247-QBVSH,No,Female,0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.2,1.67,2169.4
1251-KRREG,Yes,Male,0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,1.81,114.1
1251-STYSZ,No,Female,1,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,2.68,303.7
1254-IZEYF,Yes,Female,1,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.95,3.33,3186.65
1258-YMZNM,No,Female,1,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.5,3.68,2857.6
1260-TTRXI,Yes,Male,0,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,54.3,1.81,195.3
1261-FWTTE,No,Male,1,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.65,1.16,768.45
1262-OPMFY,Yes,Female,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,2.52,655.9
1264-BYWMS,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.8,3.23,5283.95
1264-FUHCX,No,Female,0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),56.3,1.88,2780.6
1265-BCFEO,No,Female,0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.45,2.68,5662.25
1265-HVPZB,No,Male,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),66.4,2.21,3958.2
1265-XTECC,Yes,Female,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),96.55,3.22,6581.9
1265-ZFOSD,No,Female,0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,81.3,2.71,5129.3
1266-NZYUI,No,Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),66.85,2.23,4758.8
1268-ASBGA,Yes,Female,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.35,2.84,1375.15
1271-SJBGZ,Yes,Male,1,No,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.65,1.45,526.95
1271-UODNO,No,Male,0,No,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),53.85,1.8,2200.7
1273-MTETI,Yes,Female,1,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.85,2.96,372.45
1282-IHQAC,No,Male,1,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),44.05,1.47,3011.65
1285-OKIPP,Yes,Male,0,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,2.66,79.9
1291-CUOCY,No,Male,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.6,3.69,7962.2
1297-VQDRP,No,Male,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),107.15,3.57,7379.8
1298-PHBTI,No,Male,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,84.8,2.83,6152.4
1301-LOPVR,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),55.35,1.84,1636.95
1302-UHBDD,No,Male,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.95,3.0,1648.45
1303-SRDOK,No,Female,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),69.05,2.3,3842.6
1304-BCCFO,No,Male,0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.05,2.34,564.4
1304-NECVQ,Yes,Female,1,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.55,2.62,149.55
1304-SEGFY,No,Female,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,97.85,3.26,6841.3
1307-ATKGB,No,Male,0,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.55,2.98,2187.15
1307-TVUFB,No,Male,1,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,2.64,3344.1
1309-BXVOQ,Yes,Male,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.1,3.54,2249.95
1309-XGFSN,No,Male,1,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,80.85,2.7,4079.55
1310-QRITU,No,Female,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.3,1.68,913.3
1319-YLZJG,No,Male,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.6,2.82,959.9
1320-GVNHT,No,Male,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),108.4,3.61,7767.25
1320-HTRDR,Yes,Female,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,2.52,220.6
1320-REHCS,No,Male,1,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75,3.69,5832
1322-AGOQM,Yes,Male,0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.3,1.01,1380.1
1323-OOEPC,Yes,Female,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.4,3.28,5149.5
1324-NLTJE,Yes,Female,1,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),55.0,1.83,757.1
1325-USMEC,No,Male,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),99.35,3.31,6944.5
1329-VHWNP,No,Female,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),25.05,0.84,189.95
1334-FJSVR,Yes,Male,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.25,0.81,24.25
1334-PDUKM,No,Female,0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),86.45,2.88,5762.95
1335-HQMKX,No,Female,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.35,3.38,7323.15
1335-MXCSE,No,Male,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),55.25,1.84,3119.9
1335-NTIUC,No,Male,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,0.83,190.25
1337-BOZWO,No,Male,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),46.4,1.55,812.4
1338-CECEE,No,Male,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),68.5,2.28,2839.95
1342-JPNKI,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05,2.87,834.1
1343-EHPYB,Yes,Male,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,3.45,6603
1346-PJWTK,No,Male,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),94.15,3.14,5731.85
1346-UFHAX,No,Female,0,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,2.67,1029.35
1347-KTTTA,No,Male,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.45,3.42,6654.1
1352-HNSAW,No,Female,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.6,3.85,8220.4
1352-VHKAJ,No,Male,0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.6,2.39,1957.1
1353-GHZOS,No,Male,0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),59.75,1.99,1374.35
1353-LJWEM,No,Male,0,No,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,60.9,2.03,688.5
1355-KUSBG,No,Female,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.8,1.63,349.8
1356-MKYSK,No,Male,0,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),78.65,2.62,483.3
1357-BIJKI,No,Male,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,98.25,3.28,4858.7
1357-MVDOZ,No,Male,0,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.65,1.99,683.25
1360-JYXKQ,No,Female,1,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.1,3.3,5437.1
1360-RCYRT,No,Male,0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),30.35,1.01,678.75
1360-XFJMR,No,Female,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),109.7,3.66,7344.45
1363-TXLSL,Yes,Male,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,2.34,70.3
1370-GGAWX,No,Female,0,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,94.15,3.14,4408.45
1371-DWPAZ,No,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),56.05,1.87, 
1371-WEPDS,No,Male,1,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,55.8,1.86,2283.3
1373-ORVIZ,Yes,Female,0,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.35,2.21,740.8
1374-DMZUI,Yes,Female,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,3.14,424.45
1376-HHBDV,No,Female,0,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.8,1.63,1536.75
1379-FRVEB,No,Male,0,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,3.03,1430.05
1384-RCUXW,No,Male,0,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.55,2.68,1248.9
1389-CXMLU,Yes,Male,1,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,91.05,3.03,289.1
1389-WNUIB,No,Female,0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),76.0,2.53,1588.75
1391-UBDAR,No,Male,0,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9,2.43,818.45
1393-IMKZG,No,Female,0,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,3.2,95.85
1394-SUIUH,No,Female,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.15,2.84,3670.5
1395-OFUWC,No,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),29.3,0.98,1224.05
1396-QWFBJ,Yes,Female,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.05,2.47,1565.7
1397-XKKWR,No,Male,0,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,35.3,1.18,264.8
1399-UBQIU,No,Male,0,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.35,2.31,712.25
1400-MMYXY,Yes,Male,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,3.53,334.65
1400-WIVLL,No,Male,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,107.95,3.6,5969.85
1402-PTHGN,No,Female,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,61.5,2.05,1087.45
1406-PUQVY,No,Male,0,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.9,1.66,49.9
1409-PHXTF,No,Male,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.45,3.68,6077.75
1410-RSCMR,No,Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.35,2.38,515.75
1414-YADCW,No,Male,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),84.6,2.82,5706.2
1415-YFWLT,Yes,Female,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.3,2.98,89.3
1421-HCERK,No,Male,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.7,3.52,3181.8
1422-DGUBX,No,Male,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,79.25,2.64,2619.15
1427-VERSM,No,Female,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,3.29,5669.5
1428-GTBJJ,Yes,Male,0,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.55,2.48,824.75
1428-IEDPR,No,Male,0,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.3,3.64,5731.4
1430-SFQSA,No,Male,0,No,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,35.6,1.19,1072.6
1431-AIDJQ,No,Male,0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),82.1,2.74,2603.1
1432-FPAXX,Yes,Female,0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.6,1.02,856.35
1436-ZMJAN,No,Female,0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),67.8,2.26,653.15
1442-BQPVU,No,Female,0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,29.15,0.97,357.15
1442-OKRJE,No,Male,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,3.44,7031.3
1444-VVSGW,Yes,Male,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.65,3.86,7968.85
1447-GIQMR,Yes,Male,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.15,2.31,69.15
1447-PJGGA,Yes,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.25,3.18,5464.65
1448-CYWKC,No,Female,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),105.2,3.51,6225.4
1448-PWKYE,Yes,Male,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,2.67,80
1450-GALXR,Yes,Female,0,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,3.28,1058.25
1450-SKCVI,Yes,Female,0,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,2.46,4092.85
1452-KIOVK,No,Male,0,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,2.97,1949.4
1452-UZOSF,No,Male,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),106.1,3.54,7548.6
1452-VOQCH,No,Male,0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,2.5,75.1
1452-XRSJV,No,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.05,1.7,2066
1453-RZFON,No,Female,0,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1.66,49.9
1455-ESIQH,Yes,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.1,2.97,89.1
1455-HFBXA,No,Male,0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),91.6,3.05,4627.8
1455-UGQVH,Yes,Male,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,3.28,1037.75
1456-TWCGB,No,Male,0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,1.64,208.45
1459-QNFQT,No,Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.5,1.98,4144.8
1465-LNTLJ,No,Male,1,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.4,2.15,581.7
1465-VINDH,Yes,Female,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1,3.4,1068.85
1469-LBJQJ,No,Female,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.2,3.51,6936.85
1470-PSXNM,No,Male,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,93.65,3.12,4520.15
1471-GIQKQ,No,Female,0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.95,1.66,49.95
1472-TNCWL,No,Male,0,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7,3.16,3512.5
1474-JUWSM,No,Female,0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,68.4,2.28,3972.25
1475-VWVDO,No,Male,0,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,2.5,490.55
1478-VPOAD,No,Female,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,43.8,1.46,43.8
1480-BKXGA,No,Male,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.05,3.87,8404.9
1480-IVEVR,No,Male,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),81.6,2.72,2815.25
1481-ZUWZA,Yes,Male,0,No,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.5,3.15,2659.4
1482-OXZSY,No,Male,0,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.4,3.35,2936.25
1485-YDHMM,No,Male,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.25,3.11,4631.7
1488-PBLJN,No,Female,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.85,3.9,8477.7
1492-KGETH,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),78.35,2.61,5445.95
1492-QGCLU,No,Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.7,2.86,4616.1
1496-GGSUK,Yes,Female,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.7,0.86,25.7
1498-NHTLT,No,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,86.75,2.89,5186
1501-SGHBW,Yes,Male,0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.85,1.53,81
1502-XFCVR,Yes,Female,0,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.45,3.55,6145.85
1506-YJTYT,No,Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),73.85,2.46,3371
1508-DFXCU,No,Male,0,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.45,2.72,912
1513-XNPPH,Yes,Female,0,No,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.4,2.98,1095.65
1518-OMDIK,No,Male,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.55,1.48,1462.6
1518-VOWAV,Yes,Female,0,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.65,2.49,703.55
1522-VVDMG,Yes,Male,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75,2.99,608.8
1525-LNLOJ,No,Male,0,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,2.11,4189.7
1527-SXDPN,Yes,Male,0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),96.25,3.21,4990.25
1530-ZTDOZ,No,Female,0,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.65,1.36,2070.75
1534-OULXE,No,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),49.7,1.66,2961.4
