cliente_ID,contrato,fatura_online,forma_pagamento,gastos_mensais,gasto_total
2434-EEVDB,Two year,Yes,Credit card (automatic),94.6,5948.7
2436-QBZFP,Month-to-month,No,Electronic check,39.2,849.9
2439-LYPMQ,Month-to-month,Yes,Electronic check,102.6,4009.2
2439-QKJUL,Month-to-month,No,Mailed check,20.25,109.8
2446-BEGGB,Month-to-month,Yes,Electronic check,98.25,560.6
2446-PLQVO,Month-to-month,Yes,Electronic check,70.3,70.3
2446-ZKVAF,Month-to-month,No,Credit card (automatic),56.8,1074.65
2450-ZKEED,One year,No,Bank transfer (automatic),53.8,651.55
2451-YMUXS,Two year,Yes,Bank transfer (automatic),64.55,4250.1
2452-KDRRH,Month-to-month,Yes,Credit card (automatic),101.4,6841.05
2452-MRMZF,Two year,Yes,Credit card (automatic),25.7,1937.4
2452-SNHFZ,Month-to-month,No,Credit card (automatic),75.45,3545.1
2453-SAFNS,One year,No,Mailed check,72.1,3886.05
2454-RPBRZ,Month-to-month,Yes,Electronic check,98.1,1060.2
2455-USLMV,Month-to-month,Yes,Credit card (automatic),84.75,2613.4
2458-EOMRE,Month-to-month,No,Bank transfer (automatic),64.05,733.95
2460-FPSYH,Month-to-month,Yes,Electronic check,55.8,2109.35
2460-NGXBJ,Month-to-month,Yes,Credit card (automatic),75.2,775.3
2462-XIIJB,Month-to-month,Yes,Electronic check,92.5,452.7
2465-BLLEU,Month-to-month,Yes,Mailed check,19.75,19.75
2466-FCCPT,One year,No,Bank transfer (automatic),19.7,395.6
2466-NEJOJ,Month-to-month,No,Credit card (automatic),19.65,169.75
2468-SJFLM,Month-to-month,Yes,Mailed check,74.3,74.3
2469-DTSGX,Two year,No,Electronic check,111.65,7943.45
2472-OVKUP,Month-to-month,Yes,Electronic check,91.0,531
2474-BRUCM,Month-to-month,No,Electronic check,101.85,4086.3
2474-LCNUE,Month-to-month,Yes,Credit card (automatic),73.65,1642.75
2475-MROZF,Month-to-month,Yes,Credit card (automatic),95.0,2852.4
2476-YGEFM,Month-to-month,Yes,Credit card (automatic),76.0,2215.25
2478-EEWWM,Month-to-month,Yes,Electronic check,44.3,2666.75
2479-BRAMR,Month-to-month,Yes,Bank transfer (automatic),83.75,3273.55
2480-EJWYP,One year,Yes,Bank transfer (automatic),97.8,5458.8
2480-JZOSN,Month-to-month,Yes,Mailed check,20.65,20.65
2480-SQIOB,Month-to-month,No,Electronic check,44.8,169.65
2481-SBOYW,Two year,Yes,Credit card (automatic),25.0,1498.35
2482-CZGBB,Month-to-month,Yes,Electronic check,70.0,740
2483-XSSMZ,One year,Yes,Electronic check,47.85,1886.4
2484-DGXPZ,Month-to-month,Yes,Mailed check,19.55,658.95
2485-ITVKB,Month-to-month,Yes,Electronic check,35.1,68.75
2486-WYVVE,One year,Yes,Mailed check,79.3,2484
2495-INZWQ,Month-to-month,Yes,Electronic check,44.55,174.3
2495-KZNFB,Month-to-month,Yes,Electronic check,90.65,2989.6
2495-TTHBQ,One year,Yes,Mailed check,20.4,84.75
2498-XLDZR,Two year,No,Mailed check,73.6,2316.85
2499-AJYUA,Two year,Yes,Credit card (automatic),110.8,7882.25
2501-XWWTZ,Month-to-month,No,Electronic check,70.2,760.05
2504-DSHIH,Month-to-month,No,Electronic check,86.8,1975.85
2506-CLAKW,Month-to-month,Yes,Bank transfer (automatic),98.15,567.45
2506-TNFCO,Month-to-month,Yes,Electronic check,69.55,69.55
2507-QZPQS,Month-to-month,No,Electronic check,95.7,1451.1
2508-QJJFP,One year,No,Credit card (automatic),20.55,1013.05
2509-TFPJU,Two year,No,Credit card (automatic),25.75,1864.2
2511-ALLCS,Two year,No,Bank transfer (automatic),24.3,821.6
2511-MORQY,One year,No,Bank transfer (automatic),54.9,2614.1
2514-GINMM,Month-to-month,Yes,Electronic check,79.5,79.5
2516-VQRRV,Month-to-month,Yes,Mailed check,75.45,158.4
2516-XSJKX,Two year,No,Electronic check,78.45,3126.45
2519-ERQOJ,Month-to-month,Yes,Electronic check,54.6,1803.7
2519-FAKOD,Month-to-month,Yes,Bank transfer (automatic),99.25,3777.15
2519-LBNQL,One year,Yes,Electronic check,104.35,6339.45
2519-TWKFS,One year,Yes,Mailed check,55.1,1466.1
2520-SGTTA,Two year,No,Mailed check,20.0, 
2521-NPUZR,Two year,No,Credit card (automatic),101.0,7085.5
2522-AHJXR,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85
2522-WLNSF,One year,No,Bank transfer (automatic),64.2,2106.3
2523-EWWZL,Month-to-month,Yes,Electronic check,76.1,2093.4
2525-GVKQU,Two year,No,Mailed check,20.6,1093
2528-HFYZX,Month-to-month,Yes,Electronic check,76.45,1233.4
2530-ENDWQ,Two year,Yes,Bank transfer (automatic),93.7,6585.35
2530-FMFXO,Two year,Yes,Electronic check,103.2,5873.75
2533-QVMSK,Two year,Yes,Electronic check,94.1,5638.3
2533-TIBIX,Month-to-month,Yes,Bank transfer (automatic),30.2,469.65
2535-PBCGC,Two year,No,Bank transfer (automatic),64.55,4504.9
2538-OIMXF,Month-to-month,No,Mailed check,24.7,24.7
2541-YGPKE,One year,No,Credit card (automatic),63.7,2763.35
2542-HYGIQ,Month-to-month,No,Credit card (automatic),19.95,19.95
2545-EBUPK,Month-to-month,Yes,Electronic check,84.05,186.05
2545-LXYVJ,Two year,No,Bank transfer (automatic),20.7,1492.1
2546-KZAAT,One year,Yes,Mailed check,75.4,3865.45
2550-AEVRU,One year,No,Electronic check,53.45,3053
2550-QHZGP,One year,No,Mailed check,19.5,128.6
2550-ZQZPP,Month-to-month,Yes,Electronic check,75.4,533.05
2558-BUOZZ,One year,No,Bank transfer (automatic),94.8,4535.85
2560-PPCHE,One year,Yes,Bank transfer (automatic),105.05,6744.25
2560-QTSBS,One year,Yes,Bank transfer (automatic),23.3,1623.15
2560-WBWXF,Two year,Yes,Bank transfer (automatic),24.15,1498.85
2565-JSLRY,Month-to-month,Yes,Mailed check,24.05,24.05
2568-BRGYX,Month-to-month,Yes,Electronic check,70.2,237.95
2568-OIADY,Month-to-month,Yes,Electronic check,99.5,3762
2569-WGERO,Two year,Yes,Bank transfer (automatic),21.15,1419.4
2573-GYRUU,Month-to-month,Yes,Credit card (automatic),91.05,4370.75
2575-EAMDV,One year,Yes,Electronic check,99.25,3532
2575-GFSOE,Month-to-month,Yes,Electronic check,69.0,506.9
2576-HXMPA,Month-to-month,No,Credit card (automatic),19.55,19.55
2577-GVSIL,One year,Yes,Bank transfer (automatic),73.45,2661.1
2578-JQPHZ,Two year,No,Bank transfer (automatic),100.1,4378.35
2580-ASVVY,Two year,No,Electronic check,45.4,1593.1
2580-ATZSQ,One year,No,Bank transfer (automatic),61.35,3874.1
2581-VKIRT,One year,No,Mailed check,65.5,3801.3
2582-FFFZR,Month-to-month,Yes,Electronic check,50.6,1073.3
2585-KTFRE,Month-to-month,Yes,Bank transfer (automatic),70.45,70.45
2586-CWXVV,Month-to-month,No,Electronic check,30.4,1621.35
2587-EKXTS,Month-to-month,Yes,Electronic check,111.5,4915.15
2587-YNLES,Two year,No,Mailed check,20.1,100.35
2589-AYCRP,One year,No,Bank transfer (automatic),19.75,989.05
2592-HODOV,One year,No,Credit card (automatic),19.3,259.65
2592-SEIFQ,Month-to-month,No,Electronic check,24.75,66.95
2592-YKDIF,Month-to-month,No,Mailed check,20.35,20.35
2595-KIWPV,Two year,No,Credit card (automatic),19.7,509.3
2599-CIPQE,Two year,No,Credit card (automatic),109.3,7782.85
2599-CZABP,One year,No,Electronic check,44.6,641.25
2599-GTQWQ,Month-to-month,Yes,Bank transfer (automatic),95.65,3759.05
2603-HVKCG,Month-to-month,Yes,Electronic check,101.4,3143.65
2604-IJPDU,Month-to-month,Yes,Electronic check,96.55,1901.65
2604-XVDAM,Month-to-month,No,Bank transfer (automatic),43.8,540.95
2606-PKWJB,One year,No,Mailed check,40.25,1564.05
2606-RMDHZ,Month-to-month,Yes,Credit card (automatic),30.5,208.7
2607-DHDAK,Two year,Yes,Credit card (automatic),19.8,1414.65
2607-FBDFF,Month-to-month,No,Credit card (automatic),49.0,49
2608-BHKFN,Month-to-month,Yes,Credit card (automatic),70.05,266.9
2609-IAICY,Month-to-month,Yes,Electronic check,77.15,77.15
2612-PHGOX,Two year,Yes,Bank transfer (automatic),76.1,4818.8
2612-RANWT,Month-to-month,Yes,Bank transfer (automatic),100.15,1164.3
2612-RRIDN,Month-to-month,Yes,Electronic check,81.0,340.85
2615-YVMYX,Month-to-month,Yes,Electronic check,107.5,7713.55
2616-FLVQC,Two year,No,Mailed check,19.55,1240.15
2616-UUTFK,Month-to-month,Yes,Bank transfer (automatic),72.75,2447.45
2619-WFQWU,Month-to-month,Yes,Mailed check,70.15,70.15
2621-UDNLU,Month-to-month,No,Mailed check,20.85,72
2623-DRYAM,One year,Yes,Electronic check,101.75,7069.3
2625-TRCZQ,Month-to-month,Yes,Electronic check,49.65,2553.35
2626-URJFX,Month-to-month,Yes,Electronic check,50.9,225.6
2626-VEEWG,Two year,Yes,Credit card (automatic),19.4,1284.2
2632-IVXVF,Two year,No,Credit card (automatic),111.75,7511.3
2632-TACXW,Two year,No,Bank transfer (automatic),23.65,1416.75
2632-UCGVD,Month-to-month,Yes,Credit card (automatic),100.05,6871.9
2634-HCZGT,One year,Yes,Electronic check,60.05,3229.65
2636-ALXXZ,Month-to-month,Yes,Electronic check,69.6,69.6
2636-OHFMN,Month-to-month,Yes,Electronic check,48.55,201
2636-SJDOU,One year,Yes,Credit card (automatic),84.3,5289.05
2637-FKFSY,Month-to-month,Yes,Mailed check,46.1,130.15
2639-UGMAZ,One year,Yes,Electronic check,56.45,3985.35
2640-LYMOV,Month-to-month,Yes,Mailed check,19.65,38.8
2640-PMGFL,Month-to-month,Yes,Electronic check,79.5,2180.55
2642-DTVCO,Month-to-month,Yes,Electronic check,85.05,746.5
2642-MAWLJ,Two year,No,Bank transfer (automatic),20.25,717.95
2642-NQSNM,One year,No,Bank transfer (automatic),54.25,447.75
2645-QTLMB,Month-to-month,Yes,Electronic check,94.25,669
2649-HWLYB,Two year,No,Bank transfer (automatic),76.15,4929.55
2650-GYRYL,One year,Yes,Bank transfer (automatic),19.45,600.25
2651-ZCBXV,Two year,Yes,Credit card (automatic),108.0,5760.65
2654-VBVPB,Month-to-month,No,Bank transfer (automatic),19.9,19.9
2656-FMOKZ,Month-to-month,Yes,Mailed check,74.45,1145.7
2656-TABEH,Month-to-month,Yes,Electronic check,100.2,420.2
2657-ALMWY,Month-to-month,No,Electronic check,84.95,2169.75
2657-VPXTA,Month-to-month,Yes,Electronic check,88.85,929.45
2659-VXMWZ,One year,Yes,Electronic check,111.3,7482.1
2660-EMUBI,Month-to-month,Yes,Electronic check,95.35,898.35
2661-GKBTK,Two year,No,Bank transfer (automatic),76.95,4543.95
2662-NNTDK,One year,No,Credit card (automatic),24.8,1600.95
2664-XJZNO,Two year,Yes,Credit card (automatic),104.9,7559.55
2665-NPTGL,Month-to-month,Yes,Bank transfer (automatic),98.1,2510.7
2667-WYLWJ,One year,Yes,Mailed check,19.75,145
2668-TZSPS,Month-to-month,No,Mailed check,20.45,20.45
2669-OIDSD,Month-to-month,Yes,Credit card (automatic),100.05,4834
2669-QVCRG,Month-to-month,Yes,Credit card (automatic),81.3,3190.65
2672-DZUOY,Month-to-month,Yes,Electronic check,25.15,25.15
2672-HUYVI,Month-to-month,Yes,Electronic check,91.1,455.3
2672-OJQZP,Month-to-month,No,Mailed check,44.75,44.75
2672-SXZJB,Two year,Yes,Credit card (automatic),19.8,1119.9
2672-TGEFF,Month-to-month,Yes,Electronic check,88.8,3340.55
2673-CXQEU,One year,No,Electronic check,110.5,6139.5
2673-ZALNP,One year,No,Mailed check,19.9,173.15
2674-MIAHT,Month-to-month,Yes,Mailed check,80.3,324.2
2674-MLXMN,Month-to-month,Yes,Credit card (automatic),99.65,6951.15
2675-DHUTR,Month-to-month,Yes,Electronic check,98.9,5780.7
2675-IJRGJ,Two year,No,Bank transfer (automatic),19.65,978
2675-OTVVJ,Month-to-month,No,Electronic check,89.45,2807.65
2676-ISHSF,Month-to-month,No,Mailed check,20.3,20.3
2676-OXPPQ,Month-to-month,Yes,Bank transfer (automatic),55.7,335.65
2676-SSLTO,Two year,Yes,Bank transfer (automatic),66.15,3199
2680-XKKNJ,One year,No,Bank transfer (automatic),58.2,469.25
2682-KEVRP,One year,Yes,Mailed check,20.05,417
2683-BPJSO,Month-to-month,Yes,Electronic check,84.45,2467.1
2683-JXWQQ,Month-to-month,No,Bank transfer (automatic),33.6,2117.2
2684-EIWEO,Month-to-month,No,Credit card (automatic),91.7,2758.15
2685-SREOM,Month-to-month,Yes,Electronic check,89.1,2368.4
2688-BHGOG,Month-to-month,Yes,Electronic check,79.55,718.55
2690-DVRVK,One year,No,Electronic check,20.55,99.45
2691-NZETQ,Month-to-month,Yes,Electronic check,85.35,758.6
2692-AQCPF,One year,Yes,Credit card (automatic),108.05,7118.9
2692-BUCFV,Month-to-month,Yes,Bank transfer (automatic),101.45,2948.6
2692-PFYTJ,Month-to-month,Yes,Mailed check,25.75,25.75
2694-CIUMO,Month-to-month,Yes,Credit card (automatic),79.55,958.25
2696-ECXKC,One year,No,Mailed check,100.9,5448.6
2696-NARTR,Month-to-month,Yes,Electronic check,73.85,926.25
2696-RZVZW,Two year,No,Credit card (automatic),25.05,1629.2
2697-NQBPF,Month-to-month,Yes,Electronic check,105.35,3540.65
2700-LUEVA,Month-to-month,No,Credit card (automatic),20.75,20.75
2703-AMTUL,One year,No,Mailed check,53.65,1939.35
2706-QZIHY,Two year,No,Mailed check,25.2,387.9
2709-UQGNP,Month-to-month,Yes,Mailed check,51.65,524.5
2710-WYVXG,Two year,No,Mailed check,71.1,213.35
2712-SYWAY,Month-to-month,Yes,Electronic check,25.7,25.7
2716-GFZOR,Month-to-month,Yes,Credit card (automatic),86.1,3551.65
2717-HVIZY,Month-to-month,No,Mailed check,20.05,163.6
2718-GAXQD,Month-to-month,No,Electronic check,46.0,181.6
2718-YSKCS,Two year,Yes,Bank transfer (automatic),19.6,1387.45
2719-BDAQO,Month-to-month,No,Electronic check,93.85,1625.65
2720-FVBQP,Month-to-month,Yes,Credit card (automatic),48.95,273.25
2720-WGKHP,Month-to-month,Yes,Electronic check,94.0,181.7
2722-JMONI,Month-to-month,Yes,Electronic check,49.55,49.55
2722-VOJQL,One year,Yes,Credit card (automatic),105.65,6903.1
2724-FJDYW,One year,No,Bank transfer (automatic),54.85,2191.7
2725-IWWBA,One year,No,Mailed check,56.9,2560.1
2725-KXXWT,Month-to-month,Yes,Electronic check,90.75,90.75
2725-TTRIQ,Two year,Yes,Bank transfer (automatic),84.2,5986.55
2729-VNVAP,Two year,No,Credit card (automatic),19.8,641.35
2731-GJRDG,One year,Yes,Bank transfer (automatic),109.55,3608
2732-ISEZX,Month-to-month,Yes,Mailed check,20.5,104.3
2737-WFVYW,Month-to-month,Yes,Electronic check,45.25,85.5
2737-YNGYW,Month-to-month,No,Electronic check,80.55,184.1
2739-CACDQ,Month-to-month,Yes,Credit card (automatic),82.65,1470.05
2739-CCZMB,Month-to-month,No,Credit card (automatic),20.35,122
2740-JFBOK,Month-to-month,Yes,Electronic check,24.0,226.55
2740-TVLFN,Month-to-month,Yes,Electronic check,50.15,50.15
2746-DIJLO,One year,Yes,Credit card (automatic),56.3,2364
2748-MYRVK,One year,No,Bank transfer (automatic),99.9,6137
2749-CTKAJ,One year,No,Mailed check,20.15,419.9
2750-BJLSB,One year,Yes,Electronic check,103.7,4730.6
2753-JMMCV,Two year,Yes,Credit card (automatic),74.2,4805.65
2754-SDJRD,Month-to-month,Yes,Credit card (automatic),100.15,908.55
2754-VDLTR,Month-to-month,No,Electronic check,95.2,930.4
2754-XBHTB,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15
2758-RNWXS,One year,Yes,Electronic check,89.2,3251.3
2761-OCIAX,Month-to-month,Yes,Electronic check,74.7,165.4
2761-XECQW,Month-to-month,Yes,Mailed check,43.35,371.4
2770-NSVDG,Month-to-month,No,Electronic check,29.1,688
2773-MADBQ,Two year,Yes,Mailed check,53.1,1901.25
2773-OVBPK,Two year,Yes,Bank transfer (automatic),111.3,7567.2
2774-LVQUS,Month-to-month,Yes,Electronic check,83.05,1258.3
2775-SEFEE,Two year,Yes,Bank transfer (automatic),61.9, 
2777-PHDEI,Month-to-month,No,Electronic check,78.05,78.05
2778-OCLGR,Month-to-month,No,Bank transfer (automatic),39.1,971.3
2782-JEEBU,Month-to-month,Yes,Mailed check,36.0,780.15
2782-LFZVW,Month-to-month,Yes,Mailed check,58.95,601.6
2786-GCDPI,Month-to-month,Yes,Electronic check,104.95,5222.35
2788-CJQAQ,One year,No,Mailed check,19.45,270.2
2789-CZANW,Two year,No,Bank transfer (automatic),110.3,6997.3
2789-HQBOU,Month-to-month,Yes,Electronic check,80.35,253.8
2790-XUYMV,One year,Yes,Credit card (automatic),85.45,6028.95
2791-SFVEW,Month-to-month,No,Bank transfer (automatic),20.15,238.15
2792-LSHWX,Month-to-month,Yes,Mailed check,83.4,83.4
2792-VPPET,Month-to-month,Yes,Electronic check,20.5,76.95
2794-XIMMO,One year,Yes,Electronic check,60.45,3184.25
2796-NNUFI,Two year,Yes,Mailed check,19.95,927.1
2796-UUZZO,Month-to-month,Yes,Credit card (automatic),80.3,4896.35
2798-NYLMZ,Two year,Yes,Credit card (automatic),108.55,7616
2799-ARNLO,Month-to-month,Yes,Electronic check,69.35,341.6
2799-TSLAG,Two year,Yes,Bank transfer (automatic),25.3,1748.55
2800-QQUSO,Month-to-month,Yes,Electronic check,100.3,4222.95
2800-VEQXM,Month-to-month,Yes,Mailed check,74.75,238.1
2801-NISEI,Month-to-month,No,Electronic check,54.95,1348.5
2804-ETQDK,Two year,No,Mailed check,20.55,1357.1
2805-AUFQN,Two year,No,Credit card (automatic),19.8,475.2
2805-EDJPQ,One year,Yes,Credit card (automatic),99.75,5608.4
2806-MLNTI,One year,Yes,Bank transfer (automatic),105.1,5376.4
2808-CHTDM,Two year,No,Mailed check,25.1,611.45
2809-ILCYT,One year,Yes,Mailed check,26.8,733.55
2809-ZMYOQ,Month-to-month,Yes,Electronic check,101.35,3334.9
2810-FTLEM,Month-to-month,Yes,Electronic check,50.15,762.25
2811-POVEX,Month-to-month,Yes,Bank transfer (automatic),88.45,2130.55
2812-ENYMO,One year,No,Credit card (automatic),54.55,1362.85
2812-REYAT,One year,Yes,Bank transfer (automatic),20.05,923.1
2812-SFXMJ,Month-to-month,No,Mailed check,20.05,20.05
2815-CPTUL,Month-to-month,Yes,Mailed check,70.25,331.9
2817-LVCPP,Two year,No,Credit card (automatic),19.4,1023.95
2817-NTQDO,Month-to-month,Yes,Credit card (automatic),45.55,597
2819-GWENI,One year,No,Mailed check,19.9,543
2821-WARNZ,One year,No,Credit card (automatic),19.45,921.3
2823-LKABH,Month-to-month,Yes,Bank transfer (automatic),95.05,1679.4
2824-DXNKN,Two year,Yes,Bank transfer (automatic),71.45,5025.85
2824-MYYBN,Month-to-month,Yes,Electronic check,95.25,3314.15
2826-DXLQO,Month-to-month,No,Bank transfer (automatic),29.8,220.45
2826-UWHIS,Month-to-month,No,Bank transfer (automatic),81.4,3775.85
2828-SLQPF,Month-to-month,Yes,Bank transfer (automatic),45.0,865.85
2829-HYVZP,One year,Yes,Mailed check,19.8,572.2
2830-LEWOA,One year,No,Credit card (automatic),103.9,6449.15
2831-EBWRN,Month-to-month,Yes,Electronic check,45.9,199.75
2832-KJCRD,Month-to-month,Yes,Electronic check,103.65,3988.5
2832-SCUCO,Month-to-month,No,Electronic check,19.9,57.4
2833-SLKDQ,Month-to-month,No,Mailed check,45.05,45.05
2834-JKOOW,One year,No,Mailed check,45.9,693.45
2834-JRTUA,Two year,Yes,Electronic check,108.05,7532.15
2834-SPCJV,Month-to-month,No,Electronic check,84.1,4348.65
2839-RFSQE,Month-to-month,No,Mailed check,20.65,38.7
2840-XANRC,Month-to-month,Yes,Electronic check,93.15,2231.05
2842-BCQGE,Month-to-month,Yes,Credit card (automatic),75.35,3161.4
2842-JTCCU,Month-to-month,No,Bank transfer (automatic),46.05,80.35
2843-CQMEG,Month-to-month,Yes,Mailed check,49.7,1218.25
2845-AFFTX,Month-to-month,Yes,Electronic check,99.8,4259.3
2845-HSJCY,Month-to-month,Yes,Electronic check,87.25,1258.6
2845-KDHVX,Two year,Yes,Mailed check,68.3,4378.8
2848-YXSMW,Two year,No,Credit card (automatic),19.4,1363.25
2851-MMUTZ,Month-to-month,Yes,Mailed check,56.15,1439.35
2851-STERV,One year,Yes,Electronic check,73.0,2471.25
2853-CWQFQ,Month-to-month,Yes,Mailed check,59.55,59.55
2855-QOWGP,One year,Yes,Electronic check,103.8,3470.8
2856-HYAPG,Month-to-month,No,Electronic check,68.65,68.65
2856-NNASM,Month-to-month,Yes,Mailed check,89.55,3856.75
2858-EIMXH,One year,Yes,Credit card (automatic),95.85,5016.25
2858-MOFSQ,One year,Yes,Mailed check,55.85,937.5
2860-RANUS,Month-to-month,Yes,Credit card (automatic),85.8,1727.5
2862-JVEOY,One year,No,Mailed check,19.15,124.4
2862-PFNIK,Month-to-month,Yes,Electronic check,24.7,24.7
2863-IMQDR,Two year,No,Electronic check,89.65,5308.7
2865-TCHJW,Month-to-month,Yes,Electronic check,89.2,346.2
2866-IKBTM,Month-to-month,No,Mailed check,19.55,19.55
2867-UIMSS,Month-to-month,No,Electronic check,80.5,80.5
2868-LLSKM,One year,Yes,Bank transfer (automatic),83.65,5733.4
2868-MZAGQ,Month-to-month,Yes,Electronic check,79.25,79.25
2868-SNELZ,Month-to-month,No,Mailed check,80.6,155.8
2869-ADAWR,Month-to-month,Yes,Credit card (automatic),89.3,4016.85
2873-ZLIWT,Month-to-month,Yes,Electronic check,84.85,3303.05
2874-YXVVA,Month-to-month,Yes,Electronic check,105.1,3634.8
2876-GZYZC,Month-to-month,Yes,Electronic check,85.95,1215.65
2876-VBBBL,Month-to-month,Yes,Mailed check,20.25,20.25
2877-VDUER,One year,No,Mailed check,40.9,1383.6
2878-DHMIN,One year,No,Electronic check,19.9,666
2878-RMWXY,Two year,Yes,Credit card (automatic),102.65,7550.3
2880-FPNAE,Month-to-month,Yes,Electronic check,74.2,140.1
2882-DDZPG,Month-to-month,No,Bank transfer (automatic),19.45,227.45
2882-WDTBA,Two year,Yes,Bank transfer (automatic),75.75,5388.15
2883-ILGWO,Month-to-month,Yes,Bank transfer (automatic),104.9,5913.95
2884-GBPFB,Month-to-month,Yes,Electronic check,70.3,2416.55
2885-HIJDH,Two year,No,Bank transfer (automatic),86.9,6194.1
2886-KEFUM,One year,Yes,Electronic check,107.5,6873.75
2887-JPYLU,Month-to-month,No,Bank transfer (automatic),45.2,1841.9
2888-ADFAO,Two year,Yes,Bank transfer (automatic),21.3,1041.8
2889-FPWRM,One year,Yes,Bank transfer (automatic),117.8,8684.8
2890-WFBHU,One year,No,Credit card (automatic),79.85,4786.1
2892-GESUL,Two year,No,Mailed check,19.35,309.25
2894-QOJRX,Month-to-month,Yes,Bank transfer (automatic),34.0,853
2896-TBNBE,One year,No,Electronic check,80.8,3132.75
2897-DOVND,Month-to-month,Yes,Electronic check,69.8,146.65
2898-LSJGD,One year,Yes,Electronic check,55.95,1157.05
2898-MRKPI,One year,Yes,Credit card (automatic),101.05,6770.5
2900-PHPLN,Two year,Yes,Credit card (automatic),19.55,1462.05
2903-YYTBW,Month-to-month,No,Electronic check,44.55,44.55
2904-GGUAZ,Two year,Yes,Bank transfer (automatic),84.05,6052.25
2905-KFQUV,Month-to-month,Yes,Credit card (automatic),70.4,154.8
2907-ILJBN,One year,No,Mailed check,20.6,233.9
2908-WGAXL,Two year,Yes,Credit card (automatic),24.95,1468.9
2908-ZTPNF,Month-to-month,Yes,Bank transfer (automatic),34.85,1267.2
2911-IJORQ,One year,Yes,Bank transfer (automatic),90.6,3358.65
2911-UREFD,Month-to-month,No,Electronic check,55.9,2184.35
2911-WDXMV,Month-to-month,Yes,Credit card (automatic),80.55,1406.65
2916-BQZLN,Month-to-month,Yes,Electronic check,84.75,1651.95
2919-HBCJO,Month-to-month,Yes,Bank transfer (automatic),76.65,333.6
2920-RNCEZ,Month-to-month,Yes,Credit card (automatic),69.95,69.95
2921-XWDJH,Month-to-month,Yes,Electronic check,83.45,3147.15
2923-ARZLG,One year,Yes,Mailed check,19.7, 
2924-KHUVI,One year,Yes,Electronic check,100.55,5514.95
2925-MXLSX,One year,Yes,Credit card (automatic),68.95,2038.7
2925-VDZHY,Two year,No,Credit card (automatic),88.7,6501.35
2926-JEJJC,One year,Yes,Bank transfer (automatic),20.2,140.95
2927-CVULT,Two year,Yes,Bank transfer (automatic),104.05,5566.4
2927-QRRQV,One year,Yes,Electronic check,94.65,4312.5
2928-HLDBA,Month-to-month,No,Mailed check,20.7,112.75
2929-ERCFZ,Month-to-month,Yes,Electronic check,94.2,777.3
2929-QNSRW,One year,Yes,Electronic check,98.25,5508.35
2930-UOTMB,Month-to-month,No,Credit card (automatic),65.25,1994.3
2931-FSOHN,Month-to-month,Yes,Electronic check,59.9,788.35
2931-SVLTV,Month-to-month,Yes,Credit card (automatic),110.1,4469.1
2931-VUVJN,One year,Yes,Electronic check,94.05,5483.9
2931-XIQBR,One year,No,Mailed check,103.05,5153.5
2933-FILNV,Month-to-month,Yes,Mailed check,24.4,36.55
2933-XEUJM,Two year,No,Mailed check,79.2,3593.8
2937-FTHUR,Month-to-month,No,Electronic check,64.8,1166.7
2946-KIQSP,Month-to-month,Yes,Mailed check,33.45,1175.85
2947-DOMLJ,Month-to-month,No,Mailed check,50.6,50.6
2951-QOQTK,Month-to-month,No,Credit card (automatic),80.8,332.45
2952-QAYZF,Month-to-month,Yes,Electronic check,85.3,424.15
2954-PIBKO,Two year,Yes,Credit card (automatic),64.15,4254.1
2955-BJZHG,Month-to-month,No,Electronic check,80.85,1400.85
2955-PSXOE,Month-to-month,Yes,Bank transfer (automatic),20.2,20.2
2956-GGUCQ,Month-to-month,Yes,Electronic check,78.85,1772.25
2956-MHLSX,Month-to-month,No,Electronic check,50.8,50.8
2957-JIRMN,One year,No,Electronic check,84.45,4959.15
2957-LOLHO,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9
2958-NHPPS,Month-to-month,No,Electronic check,20.85,473.9
2959-EEXWB,Month-to-month,Yes,Bank transfer (automatic),50.9,2333.85
2959-FENLU,Month-to-month,Yes,Credit card (automatic),85.3,781.4
2959-MJHIC,Month-to-month,Yes,Electronic check,80.35,307.4
2960-NKRSO,Month-to-month,Yes,Electronic check,85.95,2107.15
2961-VNFKL,Two year,Yes,Credit card (automatic),25.95,1801.9
2962-XPMCQ,Month-to-month,Yes,Electronic check,45.15,98.5
2967-MXRAV,One year,No,Mailed check,18.8,18.8
2968-SSGAA,Month-to-month,Yes,Electronic check,100.6,1060.2
2969-QWUBZ,Month-to-month,No,Electronic check,51.4,96.8
2969-VAPYH,One year,No,Credit card (automatic),60.5,3870
2969-WGHQO,One year,No,Electronic check,69.45,477.05
2971-SGAFL,Month-to-month,Yes,Electronic check,78.75,995.35
2972-YDYUW,One year,No,Electronic check,94.7,5468.95
2974-GGUXS,Month-to-month,Yes,Credit card (automatic),91.95,3301.05
2977-CEBSX,Two year,Yes,Credit card (automatic),90.05,5965.95
2978-XXSOG,Month-to-month,Yes,Mailed check,59.05,1253.5
2979-SXESE,Month-to-month,No,Electronic check,94.4,1607.2
2982-IHMFT,Month-to-month,Yes,Mailed check,74.45,74.45
2982-VPSGI,Month-to-month,Yes,Electronic check,94.0,1078.9
2983-ZANRP,Month-to-month,Yes,Bank transfer (automatic),73.55,145.4
